22
Ideal Gas Properties of Air
temp h u s pr vr
K kJ/kg kJ/kg kJ/kgK - -
1 1 1 1 1 1
200 199.97 142.56 1.29559 0.3363 1707. 
210 209.97 149.69 1.34444 0.3987 1512. 
220 219.97 156.82 1.39105 0.4690 1346. 
230 230.02 164.00 1.43557 0.5477 1205. 
240 240.02 171.13 1.47824 0.6355 1084. 
250 250.05 178.28 1.51917 0.7329 979.  
260 260.09 185.45 1.55848 0.8405 887.8 
270 270.11 192.60 1.59634 0.9590 808.0 
280 280.13 199.75 1.63279 1.0889 738.0 
285 285.14 203.33 1.65055 1.1584 706.1 
290 290.16 206.91 1.66802 1.2311 676.1 
295 295.17 210.49 1.68515 1.3068 647.9 
300 300.19 214.07 1.70203 1.3860 621.2 
305 305.22 217.67 1.71865 1.4686 596.0 
310 310.24 221.25 1.73498 1.5546 572.3 
315 315.27 224.85 1.75106 1.6442 549.8 
320 320.29 228.42 1.76690 1.7375 528.6 
325 325.31 232.02 1.78249 1.8345 508.4 
330 330.34 235.61 1.79783 1.9352 489.4 
340 340.42 242.82 1.82790 2.149 454.1  
350 350.49 250.02 1.85708 2.379 422.2  
360 360.58 257.24 1.88543 2.626 393.4  
370 370.67 264.46 1.91313 2.892 367.2  
380 380.77 271.69 1.94001 3.176 343.4  
390 390.88 278.93 1.96633 3.481 321.5  
400 400.98 286.16 1.99194 3.806 301.6  
410 411.12 293.43 2.01699 4.153 283.3  
420 421.26 300.69 2.04142 4.522 266.6  
430 431.43 307.99 2.06533 4.915 251.1  
440 441.61 315.30 2.08870 5.332 236.8  
450 451.80 322.62 2.11161 5.775 223.6
460 462.02 329.97 2.13407 6.245 211.4
470 472.24 337.32 2.15604 6.742 200.1
480 482.49 344.70 2.17760 7.268 189.5
490 492.74 352.08 2.19876 7.824 179.7
500 503.02 359.49 2.21952 8.411 170.6
510 513.32 366.92 2.23993 9.031 162.1
520 523.63 374.36 2.25997 9.684 154.1
530 533.98 381.84 2.27967 10.37 146.7
540 544.35 389.34 2.29906 11.10 139.7
550 554.74 396.86 2.31809 11.86 133.1
560 565.17 404.42 2.33685 12.66 127.0
570 575.59 411.97 2.35531 13.50 121.2
580 586.04 419.55 2.37348 14.38 115.7
590 596.52 427.15 2.39140 15.31 110.6
600 607.02 434.78 2.40902 16.28 105.8
610 617.53 442.42 2.42644 17.30 101.2
620 628.07 450.09 2.44356 18.36 96.92
630 638.63 457.78 2.46048 19.84 92.84
640 649.22 465.50 2.47716 20.64 88.99
650 659.84 473.25 2.49364 21.86 85.34
660 670.47 481.01 2.50985 23.13 81.89
670 681.14 488.81 2.52589 24.46 78.61
680 691.82 496.62 2.54175 25.85 75.50
690 702.52 504.45 2.55731 27.29 72.56
700 713.27 512.33 2.57277 28.80 69.76
710 724.04 520.23 2.58810 30.38 67.07
720 734.82 528.14 2.60319 32.02 64.53
730 745.62 536.07 2.61803 33.72 62.13
740 756.44 544.02 2.63280 35.50 59.82
