23
Ideal Gas Properties of Selected Gases
temp h_CO2 u_CO2 s_CO2 h_CO u_CO s_CO h_H2O u_H2O s_H2O h_O2 u_O2 s_O2 h_N2 u_N2 s_N2
K kJ/kmol kJ/kmol kJ/kmolK kJ/kmol kJ/kmol kJ/kmolK kJ/kmol kJ/kmol kJ/kmolK kJ/kmol kJ/kmol kJ/kmolK kJ/kmol kJ/kmol kJ/kmolK
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
220 6601 4772 202.966 6391 4562 188.683 7295 5466 178.576 6404 4575 196.171 6391 4562 182.638 220
230 6938 5026 204.464 6683 4771 189.980 7628 5715 180.054 6694 4782 197.461 6683 4770 183.938 230
240 7280 5285 205.920 6975 4979 191.221 7961 5965 181.471 6984 4989 198.696 6975 4979 185.180 240
250 7627 5548 207.337 7266 5188 192.411 8294 6215 182.831 7275 5197 199.885 7266 5188 186.370 250
260 7979 5817 208.717 7558 5396 193.554 8627 6466 184.139 7566 5405 201.027 7558 5396 187.514 260
270 8335 6091 210.062 7849 5604 194.654 8961 6716 185.399 7858 5613 202.128 7849 5604 188.614 270
280 8697 6369 211.376 8140 5812 195.173 9296 6968 186.616 8150 5822 203.191 8141 5813 189.673 280
290 9063 6651 212.660 8432 6020 196.735 9631 7219 187.791 8443 6032 204.218 8432 6021 190.695 290
298 9364 6885 213.685 8669 6190 197.543 9904 7425 188.720 8682 6203 205.033 8669 6190 191.502 298
300 9431 6939 213.915 8723 6229 197.723 9966 7472 188.928 8736 6242 205.213 8723 6229 191.682 300
310 9807 7230 215.146 9014 6437 198.678 10302 7725 190.030 9030 6453 206.177 9014 6437 192.638 310
320 10186 7526 216.351 9306 6645 199.603 10639 7978 191.098 9325 6664 207.112 9306 6645 193.562 320
330 10570 7826 217.534 9597 6854 200.500 10976 8232 192.136 9620 6877 208.020 9597 6853 194.459 330
340 10959 8131 218.694 9889 7062 201.371 11314 8487 193.144 9916 7090 208.904 9888 7061 195.328 340
350 11351 8439 219.831 10181 7271 202.217 11652 8742 194.125 10213 7303 209.765 10180 7270 196.173 350
360 11748 8752 220.948 10473 7480 203.040 11992 8998 195.081 10511 7518 210.604 10471 7478 196.995 360
370 12148 9068 222.044 10765 7689 203.842 12331 9255 196.012 10809 7733 211.423 10763 7687 197.794 370
380 12552 9392 223.122 11058 7899 204.622 12672 9513 196.920 11109 7949 212.222 11055 7895 198.572 380
390 12960 9718 224.182 11351 8108 205.383 13014 9771 197.807 11409 8166 213.002 11347 8104 199.331 390
400 13372 10046 225.225 11644 8319 206.125 13356 10030 198.673 11711 8384 213.765 11640 8314 200.071 400
410 13787 10378 226.250 11938 8529 206.850 13699 10290 199.521 12012 8603 214.510 11932 8523 200794 410
420 14206 10714 227.258 12232 8740 207.549 14043 10551 200.350 12314 8822 215.241 12225 8733 201.499 420
430 14628 11053 228.252 12526 8951 208.252 14388 10813 201.160 12618 9043 215.955 12518 8943 202.189 430
440 15054 11393 229.230 12821 9163 208.929 14734 11075 201.955 12923 9264 216.656 12811 9153 202.863 440
450 15483 11742 230.194 13116 9375 209.593 15080 11339 202.734 13228 9487 217.342 13105 9363 203.523 450
460 15916 12091 231.144 13412 9587 210.243 15428 11603 203.497 13535 9710 218.016 13399 9574 204.170 460
470 16351 12444 232.080 13708 9800 210.880 15777 11869 204.247 13842 9935 218.676 13693 9786 204.803 470
480 16791 12800 233.004 14005 10014 211.504 16126 12135 204.982 14151 10160 219.326 13988 9997 205.424 480
490 17232 13158 233.916 14302 10228 212.117 16477 12403 205.705 14460 10386 219.963 14285 10210 206.033 490
500 17678 13521 234.814 14600 10443 212.719 16828 12671 206.413 14770 10614 220.589 14581 10423 206.630 500
510 18126 13885 235.700 14898 10658 213.310 17181 12940 207.112 15082 10842 221.206 14876 10635 207.216 510
520 18576 14253 236.575 15197 10874 213.890 17534 13211 207.799 15395 11071 221.812 15172 10848 207.792 520
530 19029 14622 237.439 15497 11090 214.460 17889 13482 208.475 15708 11301 222.409 15469 11062 208.358 530
540 19485 14996 238.292 15797 11307 215.020 18245 13755 209.139 16022 11533 222.997 15766 11277 208.914 540
550 19945 15372 239.135 16097 11524 215.572 18601 14028 209.795 16338 11765 223.576 16064 11492 209.461 550
560 20407 15751 239.962 16399 11743 216.115 18959 14303 210.440 16654 11998 224.146 16363 11707 209.999 560
570 20870 16131 240.789 16701 11961 216.649 19318 14579 211.075 16971 12232 224.708 16662 11923 210.528 570
580 21337 16515 241.602 17003 12181 217.175 19.678 14856 211.702 17290 12467 225.262 16962 12139 211.049 580
590 21807 16902 242.405 17307 12401 217.693 20039 15134 212.320 17609 12703 225.808 17262 12356 211.562 590
600 22280 17291 243.199 17611 12622 218.204 20402 15413 212.920 17929 12940 226.346 17563 12574 212.066 600
610 22754 17683 243.983 17915 12843 218.708 20765 15693 213.529 18250 13178 226.877 17864 12792 212.564 610
620 23231 18076 244.758 18221 13066 219.205 21130 15975 214.122 18572 13417 227.400 18166 13011 213.055 620
630 23709 18471 245.524 18527 13289 219.695 21495 16257 214.707 18895 13657 227.918 18468 13230 213.541 630
640 24190 18869 246.282 18833 13512 220.179 21862 16541 215.285 19219 13898 228.429 18772 13450 214.018 640
650 24674 19270 247.032 19141 13736 220.656 22230 16826 215.856 19544 14140 228.932 19075 13671 214.489 650
660 25160 19672 247773 19449 13962 221.127 22600 17112 216.419 19870 14383 229.430 19380 13892 214.954 660
670 25648 20078 248.507 19758 14187 221.592 22970 17399 216.976 20197 14626 229.920 19685 14114 215.413 670
680 26138 20484 249.233 20068 14414 222.052 23342 17688 217.527 20524 14871 230.405 19991 14337 215.866 680
690 26631 20894 249.952 20378 14641 222.505 23714 17978 218.071 20854 15116 230.885 20297 14560 216.314 690
700 27125 21305 250.663 20690 14870 222.953 24088 18268 218.610 21184 15364 231.358 20604 14784 216.756 700
710 27622 21719 251.368 21002 15099 223.396 24464 18561 219.142 21514 15611 231.827 20912 15008 217.192 710
720 28121 22134 252.065 21315 15328 223.833 24840 18854 219.668 21845 15859 232.291 21220 15234 217.624 720
730 28622 22552 252.755 21628 15558 224.265 25218 19148 220.189 22177 16107 232.748 21529 15460 218.059 730
740 29124 22972 253.439 21943 15789 224.692 25597 19444 220.707 22510 16357 233.201 21839 15686 218.472 740
750 29629 23393 254.117 22258 16022 225.115 25977 19741 221.215 22844 16607 233.649 22149 15913 218.889 750
760 30135 23817 254.787 22573 16255 225.533 26358 20039 221.720 23178 16859 234.091 22460 16141 219.301 760
770 30644 24242 255452 22890 16488 225.947 26741 20339 222.221 23513 17111 234.528 22772 16370 219.709 770
780 31154 24669 256.110 23208 16723 226.357 27125 20639 222.717 23850 17364 234.960 23085 16599 220.113 780
790 31665 25097 256.762 23526 16957 226.762 27510 20941 223.207 24186 17618 235.387 23398 16830 220.512 790
800 32179 25527 257.408 23844 17193 227.162 27896 21245 223.693 24523 17872 235.810 23714 17061 220.907 800
810 32694 25959 258.048 24164 17429 227.559 28284 21549 224.174 24861 18126 236.230 24027 17292 221.298 810
820 33212 26394 258.682 24483 17665 227.952 28672 21855 224.651 25199 18382 236.644 24342 17524 221.684 820
830 33730 26829 259.311 24803 17902 228.339 29062 22162 225.123 25537 18637 237.055 24658 17757 222.067 830
840 34251 27267 259.934 25124 18140 228.724 29454 22470 225.592 25877 18893 237.462 24974 17990 222.447 840
850 34773 27706 260.551 25446 18379 229106 29846 22779 226.057 26218 19150 237.864 25292 18224 222.822 850
860 35296 28125 261.164 25768 18617 229482 30240 23090 226.517 26559 19408 238.264 25610 18459 223.194 860
870 35821 28588 261.770 26.091 18858 229.856 30635 23402 226.973 26899 19666 238.660 25928 18695 223.562 870
880 36347 29031 262.371 26415 19099 230.227 31032 23715 227.426 27242 19925 239.051 26248 18931 223.927 880
890 36876 29476 262.968 26740 19341 230.593 31429 24029 227.875 27584 20185 239.439 26568 19168 224.288 890
900 37405 29922 263.559 27066 19583 230.957 31828 24345 228.321 27928 20445 239.823 26890 19407 224.647 900
910 37935 30369 264.146 27392 19826 231.317 32228 24662 228.763 28272 20706 240.203 27210 19644 225.002 910
920 38467 30818 264.728 27719 20070 231.674 32629 24980 229.202 28616 20967 240.580 27532 19883 225.353 920
930 39000 31268 265.304 28046 20314 232.028 33032 25300 229.637 28960 21228 240.953 27854 20122 225.701 930
940 39535 31719 265.877 28375 20559 232.379 33436 25621 230.070 29306 21491 241.323 28178 20362 226.047 940
950 40070 32171 266.444 28703 20805 232.727 33841 25943 230.499 29652 21754 241.689 28501 20603 226.389 950
960 40607 32625 267.007 29033 21051 233.072 34247 26265 230.924 29999 22017 242.052 28826 20844 226.728 960
970 41145 33081 267.566 29362 21298 233.413 34653 26588 231.347 30345 22280 242.411 29151 21086 227.064 970
980 41685 33537 268.119 29693 21545 233.752 35061 26913 231.767 30692 22544 242.768 29476 21328 227.398 980
990 42226 33995 268.670 30024 21793 234.088 35472 27240 232.184 31.041 22809 243.120 29803 21571 227.728 990
1000 42769 34455 269.215 30355 22041 234.421 35882 27568 232.597 31389 23075 243.471 30129 21815 228.057 1000
1020 43859 35378 270.293 31020 22540 235.079 36709 28228 233.415 32088 23607 244.164 30784 22304 228.706 1020
1040 44953 36306 271.354 31688 23041 235.728 37542 28895 234.223 32789 24142 244.844 31442 22795 229.344 1040
1060 46051 37238 272.400 32357 23544 236.364 38380 29567 235.020 33490 24677 245.513 32101 23288 229.973 1060
1080 47153 38174 273.430 33029 24049 236.992 39223 30243 235.806 34194 25214 246.171 32762 23782 230.591 1080
1100 48258 39112 274.445 33702 24557 237.609 40071 30925 236.584 34899 25753 246.818 33426 24280 231.199 1100
1120 49369 40057 275.444 34377 25065 238.217 40923 31611 237.352 35606 26294 247.454 34092 24780 231.799 1120
1140 50484 41006 276.430 35054 25575 238.817 41780 32301 238.110 36314 26836 248.081 34760 25282 232.391 1140
1160 51602 41957 277.403 35733 26088 239.407 42642 32997 238.859 37023 27379 248.698 35430 25786 232.973 1160
1180 52724 42913 278.362 36406 26602 239.989 43509 33698 239.600 37734 27923 249.307 36104 26291 233.549 1180
1200 53848 43871 279.307 37095 27118 240.663 44380 34403 240.333 38447 28469 249.906 36777 26799 234.115 1200
1220 54977 44834 280.238 37780 27637 241.128 45256 35112 241.057 39162 29018 250.497 37452 27308 234.673 1220
1240 56108 45799 281.158 38466 28426 241.686 46137 35827 241.773 39877 29568 251.079 38129 27819 235.223 1240
1260 57244 46768 282.066 39154 28678 242.236 47022 36546 242.482 40594 30118 251.653 38807 28331 235.766 1260
1280 58381 47739 282.962 39884 29201 242.780 47912 37270 243.183 41312 30670 252.219 39488 28845 236.302 1280
1300 59522 48713 283.847 40534 29725 243.316 48807 38000 243.877 42033 31224 252.776 40170 29361 236.831 1300
1320 60666 49691 284.722 41266 30251 243.844 49707 38732 244.564 42753 31778 253.325 40853 29878 237.353 1320
1340 61813 50672 285.586 41919 30778 244.366 50612 39470 245.243 43475 32334 253.868 41539 30398 237.867 1340
1360 62963 51656 286.439 42613 31306 244.880 51521 40213 245.915 44198 32891 254.404 42227 30919 238.376 1360
1380 64116 52643 287.283 43309 31836 245.388 52434 40960 246.582 44923 33449 254.932 42915 31441 238.878 1380
1400 65271 53631 288.106 44007 32367 245.889 53351 41711 247.241 45648 34008 255.454 43605 31964 239.375 1400
1420 66427 54621 288.934 44707 32900 246.385 54273 42466 247.895 46374 34567 255.968 44295 32489 239.865 1420
1440 67586 55614 289.743 45408 33434 246.876 55198 43226 248.543 47102 35129 256.475 44988 33014 240.350 1440
1460 68748 56609 290.542 46110 33971 247.360 56128 43989 249.185 47831 35692 256.978 45682 33543 240.827 1460
1480 69911 57606 291.333 46813 34508 247.839 57062 44756 249.820 48561 36256 257.474 46377 34071 241.301 1480
1500 71078 58606 292.114 47517 35046 248.312 57999 45528 250.450 49292 36821 257.965 47073 34601 241.768 1500
1520 72246 59609 292.888 48222 35584 248.778 58942 46304 251.074 50024 37387 258.450 47771 35133 242.228 1520
1540 73417 60613 292.654 48928 36124 249.240 59888 47084 251.693 50756 37952 258.928 48470 35665 242.685 1540
1560 74590 61620 294.411 49635 36665 249.695 60838 47868 252.305 51490 38520 259.402 49168 36197 243.137 1560
1580 76767 62630 295.161 50344 37207 250.147 61792 48655 252.912 52224 39088 259.870 49869 36732 243.585 1580
1600 76944 63741 295.901 51053 37750 250.592 62748 49445 253.513 52961 39658 260.333 50571 37268 244.028 1600
1620 78123 64653 296.632 51763 38293 251.033 63709 52240 254.111 53696 40227 260.791 51275 37806 244.464 1620
1640 79303 65668 297.356 52472 38837 251.470 64675 51039 254.703 54434 40799 261.242 51980 38344 244.896 1640
1660 80486 66592 298.072 53184 39382 251.901 65643 51841 255.290 55172 41370 261.690 52686 38884 245.324 1660
1680 81670 67702 298.781 53895 39927 252.329 66614 52646 255.873 55912 41944 262.132 53393 39424 245.747 1680
1700 82856 68721 299.482 54609 40474 252.751 67589 53455 256.450 56652 42517 262.571 54099 39965 246.166 1700
1720 84043 69742 300.177 55323 41023 253.169 68567 54267 257.022 57394 43093 263.005 54807 40507 246.580 1720
1740 85231 70764 300.863 56039 41572 253.582 69550 55083 257.589 58136 43669 263.435 55516 41049 246.990 1740
1760 86420 71787 301.543 56756 42123 253.991 70535 55902 258.151 58800 44247 263.861 56227 41594 247.396 1760
1780 87612 72812 302.271 57473 42673 254.398 71523 56723 258.708 59624 44825 264.283 56938 42139 247.798 1780
1800 88806 73840 302.884 58191 43225 254.797 72513 57547 259.262 60371 45405 264.701 57651 42685 248.195 1800
1820 90000 74868 303.544 58910 43778 255.194 73507 58375 259.811 61118 45986 265.113 58363 43231 248.589 1820
1840 91196 75897 304.198 59629 44331 255.587 74506 59207 260.357 61866 46568 265.521 59075 43777 248.979 1840
1860 92394 76929 304.845 60351 44886 255.976 75506 60042 260.898 62616 47151 265.925 59790 44324 249.365 1860
1880 93593 77962 305.487 61072 45441 256.361 76511 60880 261.436 63365 47734 266.326 60504 44873 249.748 1880
1900 94793 78996 306.122 61794 45997 256.743 77517 61720 261.969 64116 48319 266.722 61220 45423 250.128 1900
1920 95995 80031 306.751 62516 46552 257.122 78527 62564 262.497 64868 48904 267.115 61936 45973 250.502 1920
1940 97197 81067 307.374 63238 47108 257.497 79540 63411 263.022 65620 49490 267.505 62654 46524 250.874 1940
1960 98401 82105 307.992 63961 47665 257.868 80555 64259 263.542 66374 50078 267.891 63381 47075 251.242 1960
1980 99606 83144 308.604 64684 48221 258.236 81573 65111 264.059 67127 50665 268.275 64090 47627 251.607 1980
2000 100804 84185 309.210 65408 48780 258.600 82593 65965 264.571 67881 51253 268.655 64810 48181 251.969 2000
2050 103835 86791 310.701 67224 50179 259.494 85156 68111 265.838 69772 52727 269.588 66612 49567 252.858 2050
2100 106864 89404 312.160 69044 51584 260.370 87735 70275 267.081 71668 54208 270.504 68417 50957 253.726 2100
2150 109898 92023 313.589 70864 52988 261.226 90330 72454 268.301 73573 55697 271.399 70226 52351 254.578 2150
2200 112939 94648 314.988 72688 54396 262.065 92940 74649 269.500 75484 57192 272.278 72040 53749 255.412 2200
2250 115984 97277 316.356 74516 55809 262.887 95562 76855 270.679 77397 58690 273.136 73856 55149 256.227 2250
2300 119035 99912 317.695 76345 57222 263.692 98199 79076 271.839 79316 60193 273.981 75676 56553 257.027 2300
2350 122091 102552 319.011 78178 58640 264.480 100846 81308 272.978 81243 61704 274.809 77496 57958 257.810 2350
2400 125152 105197 320.302 80015 60060 265.253 103508 83553 274.098 83174 63219 275.625 79320 59366 258.580 2400
2450 128219 107849 321.566 81852 61482 266.012 106183 85811 275.201 85112 64742 276.424 81149 60779 259.332 2450
2500 131290 110504 322.808 83692 62906 266.755 108868 88082 276.286 87057 66271 277.207 82981 62195 260.073 2500
2550 134368 113166 324.026 85537 64335 267.485 111565 90364 277.354 89004 67802 277.979 84814 63613 260.799 2550
2600 137449 115832 325.222 87383 65766 268.202 114273 92656 278.407 90956 69339 278.738 86650 65033 261.512 2600
2650 140533 118500 326.396 89230 67197 268.905 116991 94958 279441 92916 70883 279.485 88488 66455 262.213 2650
2700 143620 121172 327.549 91077 68628 269.596 119717 97269 280.462 94881 72433 280.219 90328 67880 262.902 2700
2750 146713 123849 328.684 92930 70066 270.285 122453 99588 281.464 96852 73987 280.942 92171 69306 263.577 2750
2800 149808 126528 329.800 94784 71504 270.943 125198 101917 282.453 98826 75546 281.654 94014 70734 264.241 2800
2850 152908 129212 330.896 96639 72945 271.602 127952 104256 283.429 100808 77112 282.357 95859 72163 264.895 2850
2900 156009 131898 331.975 98495 74383 272.249 130717 106605 284.390 102793 78682 283.048 97705 73593 265.538 2900
2950 159117 134589 333.037 100352 75825 272.884 133486 108959 285.338 104785 80258 283.728 99556 75028 266.170 2950
3000 162226 137283 334.084 102210 77267 273.508 136264 111321 286.273 106780 81837 284.399 101407 76464 266.793 3000
