27
Logarithms to the Base 10 of the Equilibrium Constant K
temp H2-2H 02-20 N2-2N 0.5O2+0.5N2-NO H2O-H2+0.5O2 H2O-OH+0.5H2 CO2-CO+0.5O2 CO2+H2-CO+H2O
K - - - - - - - -
1 1 1 1 1 1 1 1 1
298 -71.224 -81.208 -159.600 -15.171 -40.048 -46.054 -45.066 -5.018
500 -40.316 -45.880 -92.672 -8.783 -22.886 -26.130 -25.025 -2.139
1000 -17.292 -19.614 -43.056 -4.062 -10.062 -11.280 -10.221 -0.159
1200 -13.414 -15.208 -34.754 -3.275 -7.899 -8.811 -7.764 0.135
1400 -10.630 -12.054 -28.812 -2.712 -6.347 -7.021 -6.014 0.333
1600 -8.532 -9.684 -24.350 -2.290 -5.180 -5.677 -4.706 0.474
1700 -7.666 -8.706 -22.512 -2.116 -4.699 -5.124 -4.169 0.530
1800 -6.896 -7.836 -20.874 -1.962 -4.270 -4.613 -3.693 0.577
1900 -6.204 -7.058 -19.410 -1.823 -3.886 -4.190 -3.267 0.619
2000 -5.580 -6.356 -18.092 -1.699 -3.540 -3.776 -2.884 0.656
2100 -5.016 -5.720 -16.898 -1.586 -3.227 -3.434 -2.539 0.688
2200 -4.502 -5.142 -15.810 -1.484 -2.942 -3.091 -2.226 0.716
2300 -4.032 -4.614 -14.818 -1.391 -2.682 -2.809 -1.940 0.742
2400 -3.600 -4.130 -13.908 -1.305 -2.443 -2.520 -1.679 0.764
2500 -3.202 -3.684 -13.070 -1.227 -2.224 -2.270 -1.440 0.784
2600 -2.836 -3.272 -12.298 -1.154 -2.021 -2.038 -1.219 0.802
2700 -2.494 -2.892 -11.580 -1.087 -1.833 -1.823 -1.015 0.818
2800 -2.178 -2.536 -10.914 -1.025 -1.658 -1.624 -0.825 0.833
2900 -1.882 -2.206 -10.294 -0.967 -1.495 -1.438 -0.649 0.846
3000 -1.606 -1.898 -9.716 -0.913 -1.343 -1.265 -0.485 0.858
3100 -1.348 -1.610 -9.174 -0.863 -1.201 -1.103 -0.332 0.869
3200 -1.106 -1.340 -8.664 -0.815 -1.067 -0.951 -0.189 0.878
3300 -0.878 -1.086 -8.186 -0.771 -0.942 -0.809 -0.054 0.888
3400 -0.664 -0.846 -7.736 -0.729 -0.824 -0.674 0.071 0.895
3500 -0.462 -0.620 -7.312 -0.690 -0.712 -0.547 0.190 0.902
