141
Thermophysical Properties of Water Vapor (Steam) at Atmospheric Pressure
temp rho cp mu nu k a Pr
380 0.5863 2.060 127.1 21.68 24.6 20.4 1.06
400 0.5542 2.014 134.4 24.25 26.1 23.4 1.04
450 0.4902 1.980 152.5 31.11 29.9 30.8 1.01
500 0.4405 1.985 170.4 38.68 33.9 38.8 0.998
550 0.4005 1.997 188.4 47.04 37.9 47.4 0.993
600 0.3652 2.026 206.7 56.60 42.2 57.0 0.993
650 0.3380 2.056 224.7 66.48 46.4 66.8 0.996
700 0.3140 2.085 242.6 77.26 50.5 77.1 1.00
750 0.2931 2.119 260.4 88.84 54.9 88.4 1.00
800 0.2739 2.152 278.6 101.7 59.2 100 1.01
850 0.2579 2.186 296.9 115.1 63.7 113 1.02
